key,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
1-90,194952,226149,0,102143,0,0,0,0,82083,0,79642,85892,0,0,215338,0,346153,0,140000,83889,93291,233333,178888,0,231274,182220,0,136832,123000,0,128806,180484,287499,105000,227522,0,273071,271840,250000,0,0,0,174022,0,,0,86999,0,250410,0,0,203390,227366,0
2-90,196273,219306,0,83333,0,0,0,0,87187,0,83571,80294,0,0,208399,0,338333,0,116666,77499,,187856,186363,0,233656,182630,0,136021,126900,0,124545,180714,300877,102500,236377,0,259668,273100,261607,0,0,0,180294,0,,0,84375,0,235760,0,0,211024,234739,0
3-90,194856,225162,0,100000,0,0,0,0,83889,0,88888,87758,0,0,208135,0,358571,0,111428,85909,,230555,180000,0,242312,179470,0,135835,127500,0,127017,183701,290151,117692,216010,0,253301,275500,260577,0,0,0,178823,0,,0,84210,0,240320,0,0,209286,235337,0
4-90,196111,229333,0,108000,0,0,0,0,85428,0,83500,80323,0,0,219004,0,359574,0,133333,84285,,238095,158571,0,239380,200000,0,134629,135500,0,131485,181567,288725,112692,189246,0,217363,274660,255263,0,0,0,184117,0,,0,88928,0,230620,0,0,210302,233178,0
5-90,195281,232291,0,100000,0,0,0,0,88749,0,79062,86562,0,0,209065,0,374999,0,138749,100000,,259375,187692,0,256401,194610,0,140823,138000,0,130538,180794,282626,112778,199325,0,227609,266670,262500,0,0,0,185844,0,,0,85999,0,235320,0,0,210148,235881,0
6-90,194410,231250,0,123043,0,0,0,0,87999,0,94545,87499,0,0,210606,0,394185,0,146000,92000,,190833,177332,0,244364,187600,0,139952,142000,0,130769,186733,305738,112666,223021,0,269121,276960,238461,0,0,0,185333,0,,0,88333,0,242310,0,0,209927,240386,0
7-90,193088,232916,0,113571,0,0,0,0,91346,0,107692,88780,0,0,225251,0,357291,0,164000,116249,,196363,184166,0,236109,183890,0,143127,145000,0,131481,185861,296195,106999,213110,0,234261,273600,234722,0,0,0,185333,0,,0,94411,0,236920,0,0,208582,241503,0
8-90,192180,228467,0,113333,0,0,0,0,95178,0,94444,86477,0,0,213478,0,365217,0,143333,97222,,208823,172499,0,234908,205450,0,143827,142000,0,129601,185639,284523,118076,233727,0,210623,273340,269078,0,0,0,180270,0,,0,92083,0,231200,0,0,199724,237727,0
9-90,189979,225000,0,117499,0,0,0,0,92500,0,94000,92812,0,0,211552,0,337500,0,147500,96999,,192000,177499,0,226250,189170,0,144070,139000,0,126497,186272,278301,111667,206346,0,214462,258060,256250,0,0,0,182308,0,,0,83750,0,239930,0,0,193597,225569,0
10-90,187630,221093,0,127143,0,0,0,0,96891,0,91250,87386,0,0,207801,0,351851,0,126000,105000,,192727,197777,0,229612,185710,0,139775,136700,0,126666,179444,272500,122143,174677,0,214054,253470,245833,0,0,0,183414,0,,0,90000,0,238220,0,0,199909,227917,0
11-90,192020,226126,0,117999,0,0,0,0,96052,0,88124,87999,0,0,202717,0,330000,0,148333,106363,,209091,189090,0,227481,207890,0,141311,135500,0,133596,176980,281249,119705,172782,0,223154,257450,247916,0,0,0,178153,0,,0,87999,0,231760,0,0,209053,229791,0
12-90,190375,218161,0,125333,0,0,0,0,87682,0,90556,84259,0,0,212855,0,325000,0,131999,92500,,200000,185000,0,228532,184000,0,139513,130000,0,127787,181470,272777,109374,194090,0,228503,254720,239062,0,0,0,174615,0,,0,72857,0,234910,0,0,200147,222261,0
1-91,192054,216532,0,118332,0,0,0,0,97856,0,96666,87999,0,0,197706,0,313461,0,130000,95833,,209615,168333,0,226793,180000,0,137571,130700,0,131428,182000,270161,108461,206321,328889,213881,247250,0,0,0,0,178461,0,,0,84444,0,225000,0,0,189214,225892,0
2-91,194806,222896,0,121333,0,0,0,0,96666,0,89499,88333,0,0,199157,0,312500,0,133333,108749,,222500,170000,0,226398,172730,0,134639,131000,0,130000,178888,270714,110000,203525,285256,219148,243870,253750,0,0,0,182857,0,,0,103182,0,228030,0,0,205010,226188,0
3-91,202666,221768,0,123000,0,0,0,0,91364,0,96874,85370,0,0,207940,0,350000,0,146666,102500,,193333,165555,0,234877,170910,0,137607,137000,0,134416,183111,268055,112083,190808,317910,248073,248560,244230,0,0,0,183469,0,,0,91667,0,223080,0,0,214681,229262,0
4-91,207718,233192,0,118749,0,0,0,0,92500,0,105454,89614,0,0,213442,0,341666,0,0,109166,,235000,185000,0,235078,180000,0,134524,140000,0,133377,183114,279941,120417,196248,319101,276409,262460,242499,0,0,0,179195,0,,0,95384,0,230730,0,0,221656,231764,0
5-91,211001,239885,0,127894,0,0,0,0,98939,0,105833,89832,0,0,218892,0,346938,0,136666,100000,,222580,181000,0,240532,171050,0,139903,139000,0,134810,188732,280319,120000,197628,333474,225076,268780,246527,0,0,0,184038,0,,0,92307,0,227360,0,0,221727,244494,0
6-91,206722,229129,0,120714,0,0,0,0,97023,0,102500,91136,0,0,224055,0,367021,0,134999,103750,,189230,186666,0,237573,187270,0,141512,136800,0,132513,188509,291666,120000,225433,338938,252993,277450,261538,0,0,0,191607,0,,0,90909,0,241180,0,0,222285,242687,0
7-91,206069,234042,0,113571,0,0,0,0,100233,0,110833,94594,0,0,230028,0,347272,0,142000,104545,,227778,187272,0,237555,182220,0,145495,140000,0,140294,190000,294339,123500,192916,334183,241405,268200,250000,0,0,0,191304,0,,0,93571,0,229230,0,0,226712,242132,0
8-91,200340,231551,0,120500,0,0,0,0,98408,0,103750,95000,0,0,220858,0,350000,0,144286,112857,,216071,185384,0,236437,182140,0,147167,139900,0,132409,198522,286499,115999,208609,356185,223947,267250,253409,0,0,0,195384,0,,0,90000,0,235380,0,0,216189,234388,0
9-91,197801,224811,0,117856,0,0,0,0,98973,0,93333,94714,0,0,231449,0,347368,0,140000,101428,,181667,210000,0,235668,171670,0,150449,135000,0,135063,181046,278921,125000,192589,327118,185124,251220,256731,0,0,0,196666,0,,0,100000,0,236140,0,0,208125,234009,0
10-91,196021,221656,0,98333,0,0,0,0,103695,0,110714,92000,0,0,209256,0,342307,0,113749,96666,,195624,185000,0,229203,182500,0,143245,135000,0,137631,183088,275862,124500,175513,323750,229466,250000,238888,0,0,0,190893,0,,0,89230,0,232540,0,0,209950,231509,0
11-91,194192,221098,0,120625,0,0,0,0,97499,0,105000,92045,0,0,202237,0,367856,0,180000,103571,,215000,200000,0,234984,170560,0,147576,130000,0,132325,181639,282608,110455,188412,331666,257453,245980,249218,0,0,0,190513,0,,0,98213,0,228070,0,0,209351,235118,0
12-91,199452,228195,0,124545,0,0,0,0,93947,0,95000,89047,0,0,222829,0,355882,0,141667,98928,,200000,183333,0,239190,167500,0,138861,135000,0,134469,188817,279310,114285,189331,310606,217757,256250,240972,0,0,0,197692,0,,0,91667,0,227220,0,0,211303,232916,0
1-92,196410,212500,0,122308,0,0,0,0,91364,0,103333,85833,0,0,213951,0,346428,0,131249,108124,,200000,188571,0,222302,179370,0,142836,134000,0,136021,182978,267262,117999,218778,300000,214116,245060,255000,0,111666,0,193548,114166,,0,95999,0,225900,0,0,204852,225647,0
2-92,198220,213194,0,128888,0,0,0,0,99642,0,96111,89249,0,0,207018,0,293478,0,137999,107142,,182500,194999,0,220655,173330,0,143202,135000,0,135342,177884,268750,116999,222114,322807,247232,243370,247708,0,75000,0,195806,112857,,0,100000,0,221200,0,0,214044,229372,0
3-92,200500,222837,0,115454,0,0,0,0,97571,0,105000,95799,0,0,218844,0,364062,0,143333,108124,,216666,200000,0,230395,177500,0,140770,132500,0,134592,187428,272222,111786,175300,326190,249054,251680,247115,0,76249,0,198666,116086,,0,102353,0,222340,0,0,217514,233112,0
4-92,198700,226946,0,122692,0,0,0,0,98225,0,110714,91750,0,0,211762,0,315454,0,145000,100667,,216304,189285,0,226305,165310,0,137915,133500,0,138428,182727,281418,119444,175158,300000,240990,254670,258593,0,75999,0,198867,115714,,0,96666,0,228900,0,0,220184,231791,0
5-92,203420,221220,0,117368,0,0,0,0,101636,0,106875,87592,0,0,204440,0,350000,0,138999,101500,,191000,185000,0,237872,184740,0,140051,132000,0,136619,190481,277419,125357,180781,324609,227995,267120,243303,0,85000,0,205063,118999,,0,98571,0,221100,0,0,217747,239576,0
6-92,199460,229885,0,122609,0,0,0,0,103400,0,112173,87833,0,0,211278,0,342045,0,120000,102857,,193500,189090,0,229516,190000,0,144141,133000,0,133521,182937,288207,115909,196844,332692,253103,256010,235000,0,82857,0,207353,119486,,0,90000,0,219910,0,0,218198,238395,0
7-92,199150,222153,0,115555,0,0,0,0,99827,0,110000,92353,0,0,221820,0,350925,0,126666,105000,,200833,203125,0,225313,176250,0,146234,132000,0,137449,188218,275819,117727,185883,336315,240192,253540,243478,0,101111,0,195686,113600,,0,95499,0,234460,0,0,216777,241488,0
8-92,194670,223511,0,111578,0,0,0,0,96964,0,109166,91842,0,0,212099,0,369736,0,135999,106666,,188999,185714,0,228781,185000,0,142937,132000,0,134537,178986,279166,112143,183529,320513,248488,242810,225694,0,90000,0,197599,114838,,0,100435,0,228400,0,0,208580,236352,0
9-92,195840,219496,0,120588,0,0,0,0,107368,0,111666,97083,0,0,212738,0,320238,0,111111,99374,,193333,186666,0,224886,165560,0,146806,131200,0,132948,185909,276666,110556,179842,316316,225047,244750,245237,0,88333,0,198490,115869,,0,91667,0,219190,0,0,203014,232734,0
