County,90!1,90!2,90!3,90!4,91!1,91!2,91!3,91!4,92!1,92!2,92!3,92!4,93!1,93!2,93!3,93!4,94!1,94!2,94!3,94!4,95!1,95!2,95!3,95!4,96!1,96!2,96!3,96!4,97!1,97!2,97!3,97!4,98!1,98!2,98!3,98!4,99!1,99!2,99!3,99!4,00!1,00!2,00!3,00!4,01!1,01!2,01!3,01!4,02!1,02!2,02!3,02!4,03!1,03!2,03!3,03!4,04!1,04!2,04!3,04!4,05!1,05!2,05!3,05!4,06!1,06!2,06!3,06!4,07!1,07!2,07!3,07!4,08!1,08!2,08!3,08!4,09!1,09!2,09!3,09!4,10!1,10!2,10!3,10!4,11!1,11!2,11!3,11!4,12!1,12!2,12!3,12!4,13!1,13!2,13!3,13!4,14!1,14!2,14!3,14!4,15!1,15!2,15!3,15!4,16!1,16!2,16!3
Santa Clara,273480,272763,268333,255213,246560,269563,262223,250743,246703,259266,247033,245426,243916,244703,251593,246846,251537,261126,254463,247816,246844,255056,261148,256321,257258,274025,279132,279506,286337,308780,327945,333717,333604,377997,373542,360484,362250,399958,411833,412150,473416,541148,521666,536733,563666,535000,511666,491266,516166,567916,550000,532583,529833,547333,553000,560000,580000,628633,629916,645333,696883,745333,744000,736500,754666,792666,778285,759999,785000,861666,849166,837500,780000,754050,652166,525796,447916,501666,565000,585000,555000,630333,621000,580500,531416,600316,590366,548000,533416,658166,668916,682666,697500,807986,809193,774966,800333,893693,858583,855500,887410,981000,964333,945333,967500,1078333,1006666
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96916,97951,100277,96388,90221,100370,98254,104111,96000,98571,89721,97916,93444,110166,95513,87182,86189,95927,98518,101610,100592,104087,113518,112102,116452,119210,131060,129874,128028,142119,140832,139888,146345,170592,174326,179592,171766,200291,225651,224023,221892,265405,274459,281158,255879,300389,325772,322346,306777,330265,314871,295595,305448,297328,270280,238239,218528,229418,208125,182343,165317,150634,155754,156507,140107,135810,133710,117463,108333,96503,120843,113140,110736,119400,135893,127143,134813,150973,148253,168193,162820,170813,177623,179843,190873,209620,217333,228560,224133,248803,233250
Madera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257575,226636,190814,167833,159053,140060,144399,145364,148889,140765,143612,137360,142970,124683,115543,113943,114026,130226,121943,132540,121443,154000,178570,171110,193176,214506,210833,219760,220416,214520,214993,220123,217703,220050,239333
Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252666,190500,216916,251816,229443,232223,239166,255166,258490,278473,251110,266166
Tuolumne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221064,225197,238959,245216,253422,271892,284252,298332,321374,336565,365086,355316,351927,365172,370988,344454,333050,357039,345815,309882,286923,294119,302537,255541,229258,231597,236458,213257,207702,212639,207175,204953,165892,172846,163536,163056,159046,159260,182356,185426,164333,193223,211823,207196,219646,239813,222926,217103,221166,240093,255933,242573,241293,251070,251316
Napa,181750,174531,178054,190622,167962,184222,194218,189444,194523,187791,191835,184768,180582,189020,183575,182666,182436,189443,198164,179666,178221,188518,191388,183729,178333,173388,206231,180296,183749,211605,206409,196058,212261,210171,198099,217155,221691,244394,272571,277272,279297,299779,309418,312577,317405,336765,343833,344786,343494,393126,389877,398625,437865,457782,477377,472330,473097,552505,540798,595728,619563,649991,686876,655404,682669,683251,696995,654198,681744,692579,650099,605688,519814,479927,442869,400665,352344,365944,354097,381550,349033,367154,377908,343120,333753,344696,340453,338243,348070,355016,395536,388243,436746,484120,518380,500713,514583,549483,575046,552000,509916,608833,612500,646633,628166,631582,636460
Tulare,85194,87753,90081,83618,93097,92866,94523,93036,99450,95079,95867,96721,97768,94648,94479,100085,97851,95730,93368,93888,94943,88785,93335,65256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100611,114126,119098,115759,120777,132034,139983,139887,147716,165990,176817,129532,142264,235693,171410,262654,260276,256556,252938,243885,237973,242179,234461,220671,200402,187870,176900,157374,136845,129850,132863,136574,138093,138446,133666,125620,118540,117026,120616,125803,119543,129150,130206,142436,136223,151910,159700,161180,163856,175386,178036,181560,176033,190473,188863,187070,193390,207000,209933
Orange,235747,246715,232422,228541,229356,237727,236553,234459,224450,231231,226326,223085,212424,213062,213833,212540,198669,210821,209025,209877,198518,207001,206882,204920,200377,214414,211187,212156,207990,225529,227529,234798,234847,258495,267003,261025,263304,275970,281183,281764,297011,321690,323233,320209,334034,352903,361011,357953,370368,410261,430665,428154,446411,472187,516064,536497,599444,671242,654252,634349,665190,709698,726050,718932,737565,748530,726716,714818,721296,759888,731874,683588,618176,577326,524120,471130,454053,493350,535913,539545,537234,556119,562753,520056,510580,536506,520140,485543,484730,540066,560233,568876,597720,657036,670753,666210,669030,691586,696963,688453,683563,713256,713126,708780,712883,741520,740666
San Francisco,292842,292363,286339,275508,269643,283975,286586,279260,269411,282348,277217,260659,258846,263799,258707,263955,252758,269211,258649,254003,259577,265767,268154,256472,266797,280323,271541,267368,271820,283618,305749,314287,304534,346075,345696,346668,352653,400683,401710,416201,453999,554904,497316,541087,573125,568612,537757,534049,528094,612080,602141,604919,607617,634881,639902,657263,673399,719191,716353,736519,833149,907387,863139,861604,871654,912199,875065,866100,874854,949695,923757,907645,910186,893002,839766,735775,685384,755640,744827,782295,729630,798253,734877,741393,680975,721959,697744,697814,672220,794003,755581,860742,837261,987515,927006,953362,977329,1153236,1046988,1141123,1138790,1343993,1232960,1277866,1323896,1372776,1279583
Riverside,136229,138468,143674,140199,136605,138646,147703,143227,142269,140702,145325,141031,135301,136926,140599,136052,132715,130697,133353,130404,125695,123199,124055,123133,117601,120028,121849,119262,115923,119220,127966,126760,126337,128069,131879,127951,127740,135678,146325,141803,148932,152334,160664,165381,160819,178448,184803,183224,185387,201529,211983,218856,225636,249248,264260,272979,301431,351102,356259,357368,374511,399816,410246,412094,417940,424011,423730,416409,417467,419852,395376,351775,311132,279260,238444,211447,184874,174024,183640,190866,197640,212308,210116,203236,200903,200713,200953,199830,202710,215680,226793,240620,251426,285150,292630,304336,309036,318323,318366,321550,320330,334463,333000,339960,341133,355973,355716
